date,aqi,aqi_bucket,co,no2,o3,pm10,pm25,so2
2014-06-29,,,10.0,22.0,7.0,,,
2014-06-30,31.0,Good,8.0,18.0,25.0,31.0,,
2014-07-01,,,,,,45.0,,
2014-07-13,,,10.0,17.0,,,,
2014-07-14,,,,,,49.0,,
2014-07-15,,,7.0,13.0,14.0,,,
2014-07-16,,,,,,44.0,,
2014-09-15,,,,17.0,16.0,,,
2014-09-16,82.0,Satisfactory,,19.0,10.0,82.0,,
2014-09-17,85.0,Satisfactory,,16.0,13.0,85.0,,
2014-09-18,88.0,Satisfactory,,21.0,13.0,88.0,,
2014-09-19,100.0,Satisfactory,,16.0,10.0,100.0,,
2014-09-20,,,,,,100.0,,
2014-09-21,,,,20.0,8.0,,,
2014-09-22,97.0,Satisfactory,,20.0,9.0,97.0,,
2014-09-23,99.0,Satisfactory,,18.0,9.0,99.0,,
2014-09-24,91.0,Satisfactory,,17.0,11.0,91.0,,
2014-09-25,86.0,Satisfactory,,20.0,9.0,86.0,,
2014-09-26,106.0,Moderately Polluted,,20.0,9.0,106.0,,
2014-09-27,103.0,Moderately Polluted,,19.0,12.0,103.0,,
2014-09-28,94.0,Satisfactory,,22.0,10.0,94.0,,
2014-09-29,109.0,Moderately Polluted,,18.0,15.0,109.0,,
2014-09-30,104.0,Moderately Polluted,,15.0,12.0,104.0,,
2014-10-01,43.0,Good,,14.0,37.0,43.0,,
2014-10-02,45.0,Good,,17.0,13.0,45.0,,
2014-10-03,55.0,Satisfactory,,18.0,13.0,55.0,,
2014-10-04,65.0,Satisfactory,,16.0,10.0,65.0,,
2014-10-05,63.0,Satisfactory,,18.0,15.0,63.0,,
2014-10-06,58.0,Satisfactory,,14.0,16.0,58.0,,
2014-10-07,59.0,Satisfactory,,13.0,13.0,59.0,,
2014-10-08,57.0,Satisfactory,,20.0,16.0,57.0,,
2014-10-09,58.0,Satisfactory,,21.0,18.0,58.0,,
2014-10-10,59.0,Satisfactory,,15.0,40.0,59.0,,
2014-10-11,69.0,Satisfactory,,14.0,31.0,69.0,,
2014-10-12,66.0,Satisfactory,,10.0,45.0,66.0,,
2014-10-13,45.0,Good,,9.0,9.0,45.0,,
2014-10-14,122.0,Moderately Polluted,,17.0,10.0,122.0,,
2014-10-15,70.0,Satisfactory,,20.0,15.0,70.0,,
2014-10-16,104.0,Moderately Polluted,,26.0,17.0,104.0,,
2014-10-17,176.0,Moderately Polluted,,25.0,21.0,176.0,,
2014-10-18,199.0,Moderately Polluted,,24.0,24.0,199.0,,
2014-10-19,156.0,Moderately Polluted,,37.0,16.0,156.0,,
2014-10-20,240.0,Poor,,33.0,54.0,240.0,,
2014-10-21,208.0,Poor,,21.0,22.0,208.0,,
2014-10-22,146.0,Moderately Polluted,,14.0,23.0,146.0,,
2014-10-23,126.0,Moderately Polluted,,6.0,22.0,126.0,,
2014-10-24,82.0,Satisfactory,,7.0,18.0,82.0,,
2014-10-25,,,,,,78.0,,
2014-10-27,,,,11.0,20.0,,,
2014-10-28,106.0,Moderately Polluted,,15.0,21.0,106.0,,
2014-10-29,129.0,Moderately Polluted,,15.0,24.0,129.0,,
2014-10-30,145.0,Moderately Polluted,,26.0,31.0,145.0,,
2014-10-31,198.0,Moderately Polluted,,22.0,19.0,198.0,,
2014-11-01,268.0,Poor,,20.0,20.0,268.0,,
2014-11-02,142.0,Moderately Polluted,,20.0,15.0,142.0,,
2014-11-03,143.0,Moderately Polluted,25.0,16.0,14.0,143.0,,
2014-11-04,129.0,Moderately Polluted,44.0,22.0,19.0,129.0,,
2014-11-05,245.0,Poor,18.0,26.0,20.0,245.0,,
2014-11-06,152.0,Moderately Polluted,41.0,26.0,18.0,152.0,,
