,date, pm25, pm10, o3, no2, so2, co,AQI,AQI_bucket
0,2019-03-18,148.57956600361663,110.10087719298245,40.0,42.0,6.0,24.0,341.7647058823529,Very Poor
1,2019-03-19,133.0,110.10087719298245,37.0,33.0,7.0,20.0,318.47058823529414,Very Poor
2,2019-03-20,152.0,110.10087719298245,36.0,17.0,5.0,19.0,324.7906976744186,Very Poor
3,2019-03-21,162.0,110.10087719298245,35.0,11.0,3.0,6.0,332.4651162790698,Very Poor
4,2019-03-22,105.0,110.10087719298245,41.0,13.0,5.0,5.0,248.79310344827587,Poor
5,2019-03-23,91.0,110.10087719298245,37.0,24.0,10.0,17.0,300.0,Poor
6,2019-03-24,119.0,110.10087719298245,45.0,41.0,9.0,26.0,353.4117647058823,Very Poor
7,2019-03-25,181.0,110.10087719298245,22.73508137432188,27.716446124763706,8.597826086956522,11.476315789473684,347.04651162790697,Very Poor
8,2019-03-27,148.57956600361663,110.10087719298245,16.0,40.0,3.0,33.0,394.1764705882353,Very Poor
9,2019-03-28,128.0,110.10087719298245,18.0,38.0,4.0,22.0,330.11764705882354,Very Poor
10,2019-03-29,169.0,110.10087719298245,18.0,45.0,3.0,26.0,353.4117647058823,Very Poor
11,2019-03-30,179.0,110.10087719298245,14.0,26.0,2.0,21.0,345.51162790697674,Very Poor
12,2019-03-31,138.0,110.10087719298245,19.0,27.0,3.0,19.0,314.04651162790697,Very Poor
13,2019-04-01,129.0,110.10087719298245,20.0,25.0,2.0,18.0,307.13953488372096,Very Poor
14,2019-04-02,134.0,110.10087719298245,22.0,35.0,4.0,22.0,330.11764705882354,Very Poor
15,2019-04-03,156.0,110.10087719298245,21.0,34.0,2.0,25.0,347.5882352941176,Very Poor
16,2019-04-04,161.0,110.10087719298245,23.0,29.0,3.0,24.0,341.7647058823529,Very Poor
17,2019-04-05,162.0,110.10087719298245,19.0,25.0,2.0,20.0,332.4651162790698,Very Poor
18,2019-04-06,159.0,110.10087719298245,15.0,14.0,2.0,10.0,330.16279069767444,Very Poor
19,2019-04-07,104.0,110.10087719298245,15.0,21.0,2.0,18.0,306.8235294117647,Very Poor
20,2019-04-08,132.0,110.10087719298245,15.0,23.0,2.0,19.0,312.6470588235294,Very Poor
21,2019-04-09,146.0,110.10087719298245,16.0,24.0,4.0,21.0,324.29411764705884,Very Poor
22,2019-04-10,151.0,110.10087719298245,20.0,27.0,2.0,19.0,324.0232558139535,Very Poor
23,2019-04-11,143.0,110.10087719298245,16.0,27.0,3.0,20.0,318.47058823529414,Very Poor
24,2019-04-12,157.0,110.10087719298245,19.0,21.0,1.0,20.0,328.62790697674416,Very Poor
25,2019-04-13,133.0,110.10087719298245,18.0,17.0,2.0,16.0,310.2093023255814,Very Poor
26,2019-04-14,99.0,110.10087719298245,9.0,56.0,4.0,25.0,347.5882352941176,Very Poor
27,2019-04-15,110.0,110.10087719298245,18.0,21.0,2.0,17.0,300.0,Poor
28,2019-04-16,124.0,110.10087719298245,27.0,14.0,1.0,12.0,303.30232558139534,Very Poor
29,2019-04-17,73.0,110.10087719298245,24.0,17.0,1.0,15.0,271.7142857142857,Poor
30,2019-04-18,91.0,110.10087719298245,22.0,18.0,4.0,12.0,229.28571428571428,Poor
31,2019-04-19,104.0,110.10087719298245,25.0,24.0,2.0,15.0,271.7142857142857,Poor
32,2019-04-20,146.0,110.10087719298245,26.0,30.0,4.0,24.0,341.7647058823529,Very Poor
33,2019-04-21,148.0,110.10087719298245,19.0,42.0,2.0,27.0,359.2352941176471,Very Poor
34,2019-04-22,142.0,110.10087719298245,71.0,23.0,4.0,15.0,317.1162790697674,Very Poor
35,2019-04-23,162.0,110.10087719298245,63.0,19.0,8.0,10.0,332.4651162790698,Very Poor
36,2019-04-24,157.0,110.10087719298245,53.0,28.0,7.0,15.0,328.62790697674416,Very Poor
37,2019-04-25,158.0,110.10087719298245,51.0,28.0,7.0,11.0,329.3953488372093,Very Poor
38,2019-04-26,158.0,110.10087719298245,34.0,27.0,6.0,9.0,329.3953488372093,Very Poor
39,2019-04-27,135.0,110.10087719298245,44.0,26.0,9.0,9.0,311.74418604651163,Very Poor
40,2019-04-28,144.0,110.10087719298245,45.0,27.0,8.0,13.0,318.6511627906977,Very Poor
41,2019-04-29,139.0,110.10087719298245,57.0,35.0,8.0,14.0,314.8139534883721,Very Poor
42,2019-04-30,161.0,110.10087719298245,56.0,31.0,9.0,14.0,331.69767441860466,Very Poor
43,2019-05-01,161.0,110.10087719298245,44.0,25.0,5.0,12.0,331.69767441860466,Very Poor
44,2019-05-02,161.0,110.10087719298245,43.0,23.0,5.0,9.0,331.69767441860466,Very Poor
45,2019-05-03,135.0,110.10087719298245,46.0,29.0,6.0,10.0,311.74418604651163,Very Poor
46,2019-05-04,140.0,110.10087719298245,51.0,38.0,7.0,13.0,315.5813953488372,Very Poor
47,2019-05-05,139.0,110.10087719298245,42.0,38.0,16.0,13.0,314.8139534883721,Very Poor
48,2019-05-06,142.0,110.10087719298245,39.0,46.0,26.0,14.0,317.1162790697674,Very Poor
49,2019-05-07,169.0,110.10087719298245,33.0,43.0,17.0,15.0,337.83720930232556,Very Poor
50,2019-05-08,179.0,110.10087719298245,29.0,33.0,8.0,11.0,345.51162790697674,Very Poor
51,2019-05-09,155.0,110.10087719298245,31.0,31.0,10.0,10.0,327.09302325581393,Very Poor
52,2019-05-10,144.0,110.10087719298245,39.0,37.0,12.0,13.0,318.6511627906977,Very Poor
53,2019-05-11,144.0,110.10087719298245,61.0,18.0,6.0,8.0,318.6511627906977,Very Poor
54,2019-05-12,159.0,110.10087719298245,43.0,23.0,14.0,7.0,330.16279069767444,Very Poor
55,2019-05-13,178.0,110.10087719298245,43.0,24.0,3.0,8.0,344.74418604651163,Very Poor
56,2019-05-14,116.0,110.10087719298245,55.0,26.0,5.0,9.0,286.34482758620686,Poor
57,2019-05-15,148.0,110.10087719298245,42.0,23.0,4.0,7.0,321.72093023255815,Very Poor
58,2019-05-16,114.0,110.10087719298245,44.0,22.0,4.0,8.0,279.51724137931035,Poor
59,2019-05-17,145.0,110.10087719298245,35.0,16.0,4.0,6.0,319.4186046511628,Very Poor
60,2019-05-18,107.0,110.10087719298245,57.0,23.0,5.0,8.0,255.6206896551724,Poor
61,2019-05-19,143.0,110.10087719298245,55.0,35.0,11.0,16.0,317.8837209302326,Very Poor
62,2019-05-20,144.0,110.10087719298245,49.0,44.0,11.0,17.0,318.6511627906977,Very Poor
63,2019-05-21,171.0,110.10087719298245,48.0,30.0,11.0,13.0,339.37209302325584,Very Poor
64,2019-05-22,145.0,110.10087719298245,53.0,26.0,7.0,12.0,319.4186046511628,Very Poor
